	Sepal.Length	Sepal.Width	Petal.Length	Petal.Width	Species	c1	c2	c3	c4
107	4.9	2.5	4.5	1.7	virginica	0	0	1	0.983860919
105	6.5	3	5.8	2.2	virginica	0	0	1	0.070584831
26	5	3	1.6	0.2	setosa	1	0	0	0.270088974
13	4.8	3	1.4	0.1	setosa	1	0	0	0.100318869
70	5.6	2.5	3.9	1.1	versicolor	0	1	0	0.41272501
39	4.4	3	1.3	0.2	setosa	1	0	0	0.369118518
74	6.1	2.8	4.7	1.2	versicolor	0	1	0	0.314810636
5	5	3.6	1.4	0.2	setosa	1	0	0	0.719216253
42	4.5	2.3	1.3	0.3	setosa	1	0	0	0.34934132
2	4.9	3	1.4	0.2	setosa	1	0	0	0.860900398
84	6	2.7	5.1	1.6	versicolor	0	1	0	0.705660137
113	6.8	3	5.5	2.1	virginica	0	0	1	0.106252433
142	6.9	3.1	5.1	2.3	virginica	0	0	1	0.789451754
83	5.8	2.7	3.9	1.2	versicolor	0	1	0	0.869753073
43	4.4	3.2	1.3	0.2	setosa	1	0	0	0.804022003
109	6.7	2.5	5.8	1.8	virginica	0	0	1	0.195329953
101	6.3	3.3	6	2.5	virginica	0	0	1	0.494564104
27	5	3.4	1.6	0.4	setosa	1	0	0	0.979574287
6	5.4	3.9	1.7	0.4	setosa	1	0	0	0.553921304
123	7.7	2.8	6.7	2	virginica	0	0	1	0.718245783
64	6.1	2.9	4.7	1.4	versicolor	0	1	0	0.753178573
132	7.9	3.8	6.4	2	virginica	0	0	1	0.605234869
25	4.8	3.4	1.9	0.2	setosa	1	0	0	0.056561643
129	6.4	2.8	5.6	2.1	virginica	0	0	1	0.544531657
89	5.6	3	4.1	1.3	versicolor	0	1	0	0.828293626
140	6.9	3.1	5.4	2.1	virginica	0	0	1	0.165156792
149	6.2	3.4	5.4	2.3	virginica	0	0	1	0.52073198
118	7.7	3.8	6.7	2.2	virginica	0	0	1	0.440679683
82	5.5	2.4	3.7	1	versicolor	0	1	0	0.112010723
56	5.7	2.8	4.5	1.3	versicolor	0	1	0	0.324066026
103	7.1	3	5.9	2.1	virginica	0	0	1	0.386970017
71	5.9	3.2	4.8	1.8	versicolor	0	1	0	0.742820091
80	5.7	2.6	3.5	1	versicolor	0	1	0	0.440690151
15	5.8	4	1.2	0.2	setosa	1	0	0	0.484477423
141	6.7	3.1	5.6	2.4	virginica	0	0	1	0.960002242
98	6.2	2.9	4.3	1.3	versicolor	0	1	0	0.046643417
144	6.8	3.2	5.9	2.3	virginica	0	0	1	0.901887211
73	6.3	2.5	4.9	1.5	versicolor	0	1	0	0.606671333
57	6.3	3.3	4.7	1.6	versicolor	0	1	0	0.900594196
21	5.4	3.4	1.7	0.2	setosa	1	0	0	0.138968212
52	6.4	3.2	4.5	1.5	versicolor	0	1	0	0.138666956
148	6.5	3	5.2	2	virginica	0	0	1	0.188740459
93	5.8	2.6	4	1.2	versicolor	0	1	0	0.37785398
40	5.1	3.4	1.5	0.2	setosa	1	0	0	0.166459655
50	5	3.3	1.4	0.2	setosa	1	0	0	0.502676149
88	6.3	2.3	4.4	1.3	versicolor	0	1	0	0.01246313
62	5.9	3	4.2	1.5	versicolor	0	1	0	0.633412492
38	4.9	3.6	1.4	0.1	setosa	1	0	0	0.386061334
58	4.9	2.4	3.3	1	versicolor	0	1	0	0.767160018
125	6.7	3.3	5.7	2.1	virginica	0	0	1	0.872111419
20	5.1	3.8	1.5	0.3	setosa	1	0	0	0.776905057
145	6.7	3.3	5.7	2.5	virginica	0	0	1	0.793843521
63	6	2.2	4	1	versicolor	0	1	0	0.408449745
37	5.5	3.5	1.3	0.2	setosa	1	0	0	0.708421417
112	6.4	2.7	5.3	1.9	virginica	0	0	1	0.151793924
48	4.6	3.2	1.4	0.2	setosa	1	0	0	0.483839946
91	5.5	2.6	4.4	1.2	versicolor	0	1	0	0.757980933
7	4.6	3.4	1.4	0.3	setosa	1	0	0	0.756973304
3	4.7	3.2	1.3	0.2	setosa	1	0	0	0.18251163
51	7	3.2	4.7	1.4	versicolor	0	1	0	0.909708613
122	5.6	2.8	4.9	2	virginica	0	0	1	0.585430856
106	7.6	3	6.6	2.1	virginica	0	0	1	0.553124585
29	5.2	3.4	1.4	0.2	setosa	1	0	0	0.363371007
36	5	3.2	1.2	0.2	setosa	1	0	0	0.896674766
116	6.4	3.2	5.3	2.3	virginica	0	0	1	0.344354831
45	5.1	3.8	1.9	0.4	setosa	1	0	0	0.603001229
78	6.7	3	5	1.7	versicolor	0	1	0	0.170184069
54	5.5	2.3	4	1.3	versicolor	0	1	0	0.386583121
30	4.7	3.2	1.6	0.2	setosa	1	0	0	0.865968926
137	6.3	3.4	5.6	2.4	virginica	0	0	1	0.404675691
68	5.8	2.7	4.1	1	versicolor	0	1	0	0.831323299
28	5.2	3.5	1.5	0.2	setosa	1	0	0	0.534462363
138	6.4	3.1	5.5	1.8	virginica	0	0	1	0.580153921
100	5.7	2.8	4.1	1.3	versicolor	0	1	0	0.073443698
135	6.1	2.6	5.6	1.4	virginica	0	0	1	0.643973604
150	5.9	3	5.1	1.8	virginica	0	0	1	0.77823954
79	6	2.9	4.5	1.5	versicolor	0	1	0	0.920541596
33	5.2	4.1	1.5	0.1	setosa	1	0	0	0.421187357
